stop_id, stop_code, stop_name, stop_desc, stop_lon, stop_lat, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
"276", "2010", "Rua Presidente Arthur Bernardes", "Residencia nº 137", "-20.3135341344403", "-40.3525206321397", , , 0, , ,
"278", "2011", "Rua Presidente Arthur Bernardes", "Residencia n°48", "-20.3145974060748", "-40.3521855136943", , , 0, , ,
"281", "2012", "Rua José Bittencourt", "Em frente a Drogaria Novo Milênio", "-20.3148563176408", "-40.3522155741859", , , 0, , ,
"283", "2013", "Pc  Antônio Ferreira Marques", "na praça", "-20.3171860415458", "-40.3521980713495", , , 0, , ,
"875", "2014", "Av  Santo Antônio", "Em frente ao Grêmio Recreativo Novo império", "-20.3173000024243", "-40.3521454299695", , , 0, , ,
"847", "2015", "Av  Santo Antônio", "Em frente ao n°138", "-20.3181973837814", "-40.3515740977791", , , 0, , ,
"872", "2016", "Av  Santo Antônio", "Na escadaria (ao lado do  Clube Náutico)", "-20.3186474702825", "-40.3515519281418", , , 0, , ,
"328", "2017", "Rua Oito De Julho", "Em frente a rua das Ostras.", "-20.2935648171141", "-40.3471856923572", , , 0, , ,
"16", "2018", "Pc  Caetano Bassini", "Na praça.", "-20.306011191951", "-40.3483444239517", , , 0, , ,
"12", "2019", "Rua Padre Emílio Miotti", "Em frente ao ponto de onibus SA-219", "-20.3072479403267", "-40.349028635211", , , 0, , ,
"11", "2020", "Rua Padre Emílio Miotti", "Próx. ao nº 97.", "-20.3072294059562", "-40.3491147775481", , , 0, , ,
"14", "2021", "Rua Antônio Campos", "Lote em frente ao n° 92", "-20.3069541976995", "-40.349753258121", , , 0, , ,
"159", "2022", "Rua Antônio Campos", "Em frente ao nº 92", "-20.3066782376321", "-40.3501341522823", , , 0, , ,
"106", "2023", "Rod Serafim Derenzi", "Loja n° 507", "-20.3063128753567", "-40.3508480171885", , , 0, , ,
"107", "2024", "Rod Serafim Derenzi", "Em frente a panificadora Renascença.", "-20.3070344336327", "-40.3521963183877", , , 0, , ,
"154", "2025", "Rua Ernesto Bassini", "Em frente a residencia nº 37", "-20.3067968765129", "-40.3513701472366", , , 0, , ,
"108", "2026", "Rua Leôncio Nunes", "Em frente ao lava jato Koinonia.", "-20.3079166098975", "-40.3521054657381", , , 0, , ,
"110", "2027", "Rod Serafim Derenzi", "Muro da escola pública Alberto de Almeida", "-20.3092617296362", "-40.3538500069214", , , 0, , ,
"109", "2028", "Rod Serafim Derenzi", "Em frente ao bar Observatório n°17", "-20.3093159426796", "-40.3541725283325", , , 0, , ,
"112", "2029", "Rua Soldado Manoel Furtado", "Em frente ao Kilão e Abatedouro.", "-20.310445922884", "-40.3543493248345", , , 0, , ,
"111", "2030", "Rua Soldado Manoel Furtado", "Em frente ao n°216", "-20.3104596987453", "-40.3544277240089", , , 0, , ,
"114", "2031", "Av  Santo Antônio", "Em frente ao cemitério", "-20.3113463085136", "-40.3553555750373", , , 0, , ,
"113", "2032", "Av  Santo Antônio", "Em frente ao cemitério", "-20.3114484010656", "-40.3556547775212", , , 0, , ,
"863", "2033", "Av  Santo Antônio", "Igreja Assembléia de Deus", "-20.3125227036213", "-40.3571556936526", , , 0, , ,
"855", "2034", "Av  Santo Antônio", "n° 1456", "-20.3127306589288", "-40.3571788819206", , , 0, , ,
"851", "2035", "Av  Santo Antônio", "Defronte ao n° 1321", "-20.3137643214926", "-40.3576113808145", , , 0, , ,
